1,Hultzsch1890_01,"[{""firstName"":""Eugen Julius Theodor"",""lastName"":""Hultzsch""}]"
2-1,Hultzsch1891_01,"[{""firstName"":""Eugen Julius Theodor"",""lastName"":""Hultzsch""}]"
2-2,Hultzsch1892_01,"[{""firstName"":""Eugen Julius Theodor"",""lastName"":""Hultzsch""}]"
2-3,Hultzsch1895_01,"[{""firstName"":""Eugen Julius Theodor"",""lastName"":""Hultzsch""}]"
2-4,Venkayya1913_01,"[{""firstName"":""V."",""lastName"":""Venkayya""}]"
2-5,KrishnaSastri1916_01,"[{""firstName"":""H."",""lastName"":""Krishna Sastri""}]"
3-1,Hultzsch1899_01,"[{""firstName"":""Eugen Julius Theodor"",""lastName"":""Hultzsch""}]"
3-2,Hultzsch1903_01,"[{""firstName"":""Eugen Julius Theodor"",""lastName"":""Hultzsch""}]"
3-3,KrishnaSastri1920_01,"[{""firstName"":""H."",""lastName"":""Krishna Sastri""}]"
3-4,KrishnaSastri1929_01,"[{""firstName"":""H."",""lastName"":""Krishna Sastri""}]"
4,KrishnaSastri1923_01,"[{""firstName"":""H."",""lastName"":""Krishna Sastri""}]"
5,KrishnaSastri1925_01,"[{""firstName"":""H."",""lastName"":""Krishna Sastri""}]"
6,SubrahmanyaAiyer1928_01,"[{""firstName"":""K. V."",""lastName"":""Subrahmanya Aiyer""}]"
7,SubrahmanyaAiyer1932_01,"[{""firstName"":""K.V."",""lastName"":""Subrahmanya Aiyer""}]"
8,SubrahmanyaAiyer1937_01,"[{""firstName"":""K.V."",""lastName"":""Subrahmanya Aiyer""}]"
9-1,Shama+Rao1939_01,"[{""firstName"":""R."",""lastName"":""Shama Sastry""},{""firstName"":""N."",""lastName"":""Lakshminarayan Rao""}]"
9-2,ShamaShastry+Rao1941_01,"[{""firstName"":""R."",""lastName"":""Shama Sastry""},{""firstName"":""N."",""lastName"":""Lakshminarayan Rao""}]"
10,RamayyaPantulu1948_01,"[{""firstName"":""J."",""lastName"":""Ramayya Pantulu""}]"
11-1,Krishnamacharlu1940_01,"[{""firstName"":""C. R."",""lastName"":""Krishnamacharlu""},{""firstName"":""R. S."",""lastName"":""Panchamukhi""},{""firstName"":""N."",""lastName"":""Lakshminaraya Rao""},{""firstName"":""H. K."",""lastName"":""Narasimhaswami""}]"
11-2,LakshminarayaRao1952_01,"[{""firstName"":""N."",""lastName"":""Lakshminarayan Rao""}]"
12,VenkatasubbaAyyar1943_01,"[{""firstName"":""V."",""lastName"":""Venkatasubba Ayyar""}]"
13,SrinivasaRao1952_01,"[{""firstName"":""G.V."",""lastName"":""Srinivasa Rao""}]"
14,RamanathaAyyar1962_01,"[{""firstName"":""A. S."",""lastName"":""Ramanatha Ayyar""}]"
15,Desai1964_01,"[{""firstName"":""P. B."",""lastName"":""Desai""},{""firstName"":""Dines Chandra"",""lastName"":""Sircar""},{""firstName"":""G. S."",""lastName"":""Gai""}]"
16,Narasimhaswami1972_01,"[{""firstName"":""H. K."",""lastName"":""Narasimhaswami""},{""firstName"":""G. S."",""lastName"":""Gai""}]"
17,Krishnan1964_01,"[{""firstName"":""K. G."",""lastName"":""Krishnan""}]"
18,LakshminarayanRao1978_01,"[{""firstName"":""N."",""lastName"":""Lakshminarayan Rao""}]"
19,SrinivasaRao1967_01,"[{""firstName"":""G.V."",""lastName"":""Srinivasa Rao""},{""firstName"":""Dines Chandra"",""lastName"":""Sircar""},{""firstName"":""G.S."",""lastName"":""Gai""}]"
20,Gai1964_01,"[{""firstName"":""G. S."",""lastName"":""Gai""}]"
22-1,SrinivasaRao1983_01,"[{""firstName"":""G.V."",""lastName"":""Srinivasa Rao""}]"
22-2,SrinivasaRao1997_01,"[{""firstName"":""G.V."",""lastName"":""Srinivasa Rao""}]"
22-3,SrinivasaRao1999_01,"[{""firstName"":""G.V."",""lastName"":""Srinivasa Rao""}]"
23,SrinivasaRao1979_01,"[{""firstName"":""G.V."",""lastName"":""Srinivasa Rao""}]"
24,Narasimhaswamy1982_01,"[{""firstName"":""H. K."",""lastName"":""Narasimhaswamy""}]"
25-1,Sampath2012_01,"[{""firstName"":""M. D."",""lastName"":""Sampath""}]"
26,Srinivasan1990_01,"[{""firstName"":""P. R."",""lastName"":""Srinivasan""}]"
27,Sampath+al2001_01,"[{""firstName"":""M. D."",""lastName"":""Sampath""},{""firstName"":""H. K."",""lastName"":""Narasimhamurthy""},{""firstName"":""Madhav N."",""lastName"":""Katti""},{""firstName"":""B. R."",""lastName"":""Gopal""}]"
28,Sundaram2010_01,"[{""firstName"":""J."",""lastName"":""Sundaram""}]"
29,NarasimhaMurthy2022_01,"[{""firstName"":""P. N."",""lastName"":""Narasimha Murthy""}]"
30,MarxiaGandhi+al2011_01,"[{""firstName"":""N."",""lastName"":""Marxia Gandhi""},{""firstName"":""A."",""lastName"":""Padmavathy""},{""firstName"":""S."",""lastName"":""Swaminathan""}]"
31,PadmanabhaSastri2013_01,"[{""firstName"":""C. A."",""lastName"":""Padmanabha Sastri""},{""firstName"":""T. S."",""lastName"":""Ravishankar""}]"
32,Swaminathan2012_01,"[{""firstName"":""S."",""lastName"":""Swaminathan""}]"
33,Munirathnam2013_01,"[{""firstName"":""K."",""lastName"":""Munirathnam""},{""firstName"":""T. S."",""lastName"":""Ravishankar""}]"
34,Subbarayalu2015_01,"[{""firstName"":""Y."",""lastName"":""Subbarayalu""}]"
35,Nagaraju2017_01,"[{""firstName"":""D. M."",""lastName"":""Nagaraju""}]"
36,Shanmugam2018_01,"[{""firstName"":""P"",""lastName"":""Shanmugam""}]"
37,Nagarjuna2018_01,"[{""firstName"":""S."",""lastName"":""Nagarjuna""},{""firstName"":""K."",""lastName"":""Munirathnam""}]"
38,Swaminathan2019_01,"[{""firstName"":""S."",""lastName"":""Swaminathan""}]"
39,Karuppiah2020_01,"[{""firstName"":""K."",""lastName"":""Karuppiah""}]"
40,Munirathnam2019_01,"[{""firstName"":""K."",""lastName"":""Munirathnam""}]"
41,Rajagopal2019_01,"[{""firstName"":""S."",""lastName"":""Rajagopal""}]"
42,SomasundaraRao2020_01,"[{""firstName"":""C"",""lastName"":""Somasundara Rao""}]"
